[2019-10-08 오전 9:00:09] 피봇1차이상 상승 : 900100	뉴프라이드
[2019-10-08 오전 9:12:11] 종목(중복) :	900100
[2019-10-08 오전 9:12:12] 종목(중복) :	084650
[2019-10-08 오전 9:12:13] 종목(중복) :	043910
[2019-10-08 오전 9:12:13] 종목(중복) :	900100
[2019-10-08 오전 9:12:14] 종목(중복) :	043910
[2019-10-08 오전 9:12:15] 종목(중복) :	043910
[2019-10-08 오전 9:12:15] 종목(중복) :	043910
[2019-10-08 오전 9:12:17] 종목(중복) :	900270
[2019-10-08 오전 9:12:17] 종목(중복) :	111710
[2019-10-08 오전 9:12:19] 종목(중복) :	111710
[2019-10-08 오전 9:12:19] 종목(중복) :	900270
[2019-10-08 오전 9:12:19] 종목(중복) :	033170
[2019-10-08 오전 9:12:20] 종목(중복) :	033110
[2019-10-08 오전 9:12:21] 종목(중복) :	900100
[2019-10-08 오전 9:12:21] 종목(중복) :	033170
[2019-10-08 오전 9:12:21] 종목(중복) :	900100
[2019-10-08 오전 9:12:21] 종목(중복) :	111710
[2019-10-08 오전 9:12:23] 종목(중복) :	033170
[2019-10-08 오전 9:12:24] 종목(중복) :	033170
[2019-10-08 오전 9:12:24] 종목(중복) :	043910
[2019-10-08 오전 9:12:25] 종목(중복) :	043910
[2019-10-08 오전 9:12:25] 종목(중복) :	049080
[2019-10-08 오전 9:12:25] 종목(중복) :	033170
[2019-10-08 오전 9:12:25] 종목(중복) :	043910
[2019-10-08 오전 9:12:25] 종목(중복) :	128540
[2019-10-08 오전 9:12:26] 종목(중복) :	049080
[2019-10-08 오전 9:12:27] 종목(중복) :	043910
[2019-10-08 오전 9:12:28] 종목(중복) :	043910
[2019-10-08 오전 9:12:29] 종목(중복) :	043910
[2019-10-08 오전 9:12:30] 종목(중복) :	043910
[2019-10-08 오전 9:12:31] 종목(중복) :	043910
[2019-10-08 오전 9:12:32] 종목(중복) :	043910
[2019-10-08 오전 9:12:33] 종목(중복) :	049080
[2019-10-08 오전 9:12:34] 종목(중복) :	043910
[2019-10-08 오전 9:12:34] 종목(중복) :	049080
[2019-10-08 오전 9:12:35] 종목(중복) :	005110
[2019-10-08 오전 9:12:35] 종목(중복) :	043910
[2019-10-08 오전 9:12:35] 종목(중복) :	049080
[2019-10-08 오전 9:12:36] 종목(중복) :	005110
[2019-10-08 오전 9:12:37] 종목(중복) :	043910
[2019-10-08 오전 9:12:37] 종목(중복) :	049080
[2019-10-08 오전 9:12:38] 종목(중복) :	005110
[2019-10-08 오전 9:12:38] 종목(중복) :	049080
[2019-10-08 오전 9:12:38] 종목(중복) :	043910
[2019-10-08 오전 9:12:39] 종목(중복) :	049080
[2019-10-08 오전 9:12:39] 종목(중복) :	005110
[2019-10-08 오전 9:12:40] 종목(중복) :	043910
[2019-10-08 오전 9:12:41] 종목(중복) :	049080
[2019-10-08 오전 9:12:43] 종목(중복) :	043910
[2019-10-08 오전 9:12:43] 종목(중복) :	049080
[2019-10-08 오전 9:12:43] 종목(중복) :	043910
[2019-10-08 오전 9:12:44] 종목(중복) :	049080
[2019-10-08 오전 9:12:45] 종목(중복) :	043910
