[2019-03-26 오전 8:59:01] RQName: 계좌평가현황요청 TRCode: opw00004 메세지: [100000] 조회가 완료되었습니다.
[2019-03-26 오전 10:00:00] RQName: 주식주문 TRCode: KOA_NORMAL_BUY_KQ_ORD 메세지: [107066] 매수주문이 완료되었습니다.
[2019-03-26 오전 10:00:06] 매수완료 :	215090	한컴유니맥스	18/18
[2019-03-26 오전 10:00:07] 매도(Status7) :	215090	한컴유니맥스	2705	2750
[2019-03-26 오전 10:00:08] RQName: 주식주문 TRCode: KOA_NORMAL_SELL_KQ_ORD 메세지: [107048] 매도주문이 완료되었습니다.
[2019-03-26 오전 10:00:54] 종목 :	900100	뉴프라이드
[2019-03-26 오전 10:01:05] 종목 :	083790	크리스탈
[2019-03-26 오전 10:02:01] 매수(4%) :	208640	썸에이지
[2019-03-26 오전 10:02:01] RQName: 주식주문 TRCode: KOA_NORMAL_BUY_KQ_ORD 메세지: [107066] 매수주문이 완료되었습니다.
[2019-03-26 오전 10:02:04] 매수완료 :	208640	썸에이지	29/29
[2019-03-26 오전 10:02:05] 매도(Status7) :	208640	썸에이지	1665	1695
[2019-03-26 오전 10:02:05] 종목 :	007630	폴루스바이오팜
[2019-03-26 오전 10:02:05] RQName: 주식주문 TRCode: KOA_NORMAL_SELL_KQ_ORD 메세지: [107048] 매도주문이 완료되었습니다.
[2019-03-26 오전 10:04:29] 종목 :	008040	사조동아원
[2019-03-26 오전 10:05:22] 손절(Status8) :	208640	썸에이지	1630
[2019-03-26 오전 10:05:22] RQName: 주식주문 TRCode: KOA_NORMAL_KQ_MODIFY 메세지: [107046] 매도정정 주문입력이 완료되었습니다.
[2019-03-26 오전 10:06:00] 시간딜레이 :	208640	썸에이지	1006/1046
[2019-03-26 오전 10:06:55] 종목 :	160550	NEW
[2019-03-26 오전 10:11:17] 종목 :	900290	GRT
[2019-03-26 오전 10:12:00] 시간딜레이 :	900100	뉴프라이드	1012/1052
[2019-03-26 오전 10:14:00] 시간딜레이 :	007630	폴루스바이오팜	1014/1054
[2019-03-26 오전 10:14:09] 종목 :	052600	한네트
[2019-03-26 오전 10:14:52] 종목 :	131760	파인텍
[2019-03-26 오전 10:16:00] 매수(4%) :	218150	미래생명자원
[2019-03-26 오전 10:16:00] RQName: 주식주문 TRCode: KOA_NORMAL_BUY_KQ_ORD 메세지: [107066] 매수주문이 완료되었습니다.
[2019-03-26 오전 10:16:21] 매수완료 :	218150	미래생명자원	13/13
[2019-03-26 오전 10:16:21] 매도(Status7) :	218150	미래생명자원	3750	3815
[2019-03-26 오전 10:16:21] RQName: 주식주문 TRCode: KOA_NORMAL_SELL_KQ_ORD 메세지: [107048] 매도주문이 완료되었습니다.
[2019-03-26 오전 10:18:50] 종목 :	014470	부방
[2019-03-26 오전 10:18:57] 손절(Status8) :	215090	한컴유니맥스	2650
[2019-03-26 오전 10:18:57] RQName: 주식주문 TRCode: KOA_NORMAL_KQ_MODIFY 메세지: [505566] 정정가능수량이 없습니다.
[2019-03-26 오전 10:19:02] 시간딜레이 :	089150	케이씨티	1019/1059
[2019-03-26 오전 10:19:08] 시간딜레이 :	012600	청호컴넷	1019/1059
[2019-03-26 오전 10:21:00] 시간딜레이 :	078140	대봉엘에스	1021/1061
[2019-03-26 오전 10:24:31] 종목 :	032820	우리기술
[2019-03-26 오전 10:25:00] 시간딜레이 :	215090	한컴유니맥스	1025/1065
[2019-03-26 오전 10:25:28] 손절(Status8) :	218150	미래생명자원	3670
